geohash,deposit,instrength,outstrength,indegree,outdegree,pagerank,fence_center
ws7grj,-9.0,1,2,1,2,0.0010659945354296772,[ 24.53333288 118.17988223]
ws7grk,4.0,0,0,0,0,0.0005548779001186047,[ 24.43353433 118.11386739]
ws7grm,-26.0,1,4,1,3,0.0008155637394393112,[ 24.43222957 118.11532041]
ws7grn,112.0,3,1,2,1,0.0030370906798389496,[ 24.50464714 118.16166846]
ws7grp,114.0,2,3,2,3,0.004767116075402349,[ 24.50523671 118.16274793]
ws7grq,163.0,4,0,3,0,0.0017430028582159519,[ 24.50963894 118.17207076]
ws7grr,-104.0,2,4,2,4,0.003323888880484,[ 24.49517687 118.08147002]
ws7grs,3.0,0,0,0,0,0.0005548779001186047,[ 24.50193425 118.128983  ]
ws7grt,-93.0,4,0,2,0,0.0009867347194891718,[ 24.50176948 118.13926048]
ws7gru,121.0,11,6,6,4,0.006368678693343238,[ 24.49950432 118.1164174 ]
ws7grv,-75.0,6,14,2,7,0.0012489112923583742,[ 24.49832126 118.11382509]
ws7grw,-32.0,8,7,4,4,0.002756247745660439,[ 24.49451978 118.1025855 ]
ws7grx,-116.0,9,14,4,7,0.004162898474183147,[ 24.50723001 118.1094841 ]
ws7gry,-280.0,19,20,4,5,0.0027239025204934537,[ 24.4666151  118.17533159]
ws7grz,344.0,12,16,7,7,0.005932357283837287,[ 24.46502084 118.17668875]
ws7gx0,36.0,2,3,2,3,0.004051482790395483,[ 24.47136062 118.1831801 ]
ws7gx1,17.0,0,0,0,0,0.0005548779001186047,[ 24.47371703 118.17782278]
ws7gx2,-125.0,7,5,6,4,0.008209636209591031,[ 24.47244992 118.18125122]
ws7gx3,-253.0,6,6,6,5,0.006202929791410413,[ 24.460277 118.171628]
ws7gx4,0.0,0,0,0,0,0.0005548779001186047,[ 24.4566265 118.165529 ]
ws7gx6,23.0,1,0,1,0,0.001745898565954266,[ 24.455054   118.16230625]
ws7gx7,3.0,0,0,0,0,0.0005548779001186047,[ 24.48504181 118.18284177]
ws7gx8,-33.0,0,2,0,2,0.0005548779001186047,[ 24.48870679 118.18347639]
ws7gx9,-59.0,2,2,2,2,0.0025594830659268495,[ 24.53842334 118.15747019]
ws7gxb,184.0,12,7,5,3,0.0053641378208998955,[ 24.54070718 118.15939672]
ws7gxc,-59.0,2,1,2,1,0.0018699447181276076,[ 24.54401075 118.1607955 ]
ws7gxd,-18.0,1,0,1,0,0.0013684624000911887,[ 24.49191208 118.10806949]
ws7gxe,-86.0,4,1,3,1,0.02846003655125568,[ 24.49972128 118.10700889]
ws7gxf,23.0,0,1,0,1,0.0005548779001186047,[ 24.4848605 118.1721585]
ws7gxg,1.0,1,0,1,0,0.0010869426813468947,[ 24.45926759 118.08483161]
ws7gxk,6.0,0,0,0,0,0.0005548779001186047,[ 24.46308624 118.08726632]
ws7gxs,-34.0,0,4,0,3,0.0005548779001186047,[ 24.458691   118.08099516]
ws7gxt,-31.0,1,0,1,0,0.0007322328271947015,[ 24.52003675 118.0919515 ]
ws7gxu,-11.0,0,1,0,1,0.0005548779001186047,[ 24.51111553 118.08881384]
ws7gxv,-6.0,1,1,1,1,0.029256217595860435,[ 24.51134986 118.09259182]
ws7gxy,42.0,0,1,0,1,0.0005548779001186047,[ 24.51209576 118.10626934]
wsk4bn,-1.0,0,0,0,0,0.0005548779001186047,[ 24.51170734 118.11730894]
wsk4bp,-8.0,0,0,0,0,0.0005548779001186047,[ 24.47351509 118.11183928]
wsk502,12.0,0,0,0,0,0.0005548779001186047,[ 24.51886738 118.12019759]
wsk506,6.0,0,0,0,0,0.0005548779001186047,[ 24.52345374 118.12011292]
wsk509,-11.0,2,1,2,1,0.020029354245266525,[ 24.48115992 118.17349744]
wsk50d,-4.0,0,0,0,0,0.0005548779001186047,[ 24.4735375 118.1684105]
wsk50e,-14.0,0,1,0,1,0.0005548779001186047,[ 24.4714235 118.167369 ]
wsk50f,-5.0,1,0,1,0,0.0008154497289453906,[ 24.4798743  118.16460704]
wsk50g,3.0,1,1,1,1,0.012964985035165308,[ 24.46315275 118.1638825 ]
wsk50p,2.0,0,1,0,1,0.0005548779001186047,[ 24.48389926 118.16788443]
wsk50r,-32.0,0,0,0,0,0.0005548779001186047,[ 24.51750935 118.10560826]
wsk50u,0.0,0,0,0,0,0.0005548779001186047,[ 24.50810649 118.09582165]
wsk50v,1.0,0,1,0,1,0.0005548779001186047,[ 24.50499856 118.09778058]
wsk50x,-2.0,4,0,3,0,0.0013846479204360643,[ 24.46297931 118.0703931 ]
wsk50y,-120.0,1,5,1,4,0.0007298399200351,[ 24.4665729  118.08991069]
wsk50z,-79.0,4,6,4,6,0.0017187792026048042,[ 24.46738901 118.09315847]
wsk51h,3.0,0,0,0,0,0.0005548779001186047,[ 24.46996473 118.10340131]
wsk51j,-22.0,2,2,1,1,0.012964985035165308,[ 24.46315036 118.06955516]
wsk51n,-297.0,1,4,1,4,0.0010869426813468947,[ 24.53089684 118.13289233]
wsk51p,-150.0,6,5,4,4,0.0028910297428139894,[ 24.53243914 118.1372002 ]
wsk51q,0.0,1,0,1,0,0.0007298399200351,[ 24.49881039 118.13577535]
wsk51r,258.0,4,0,3,0,0.004122526726681617,[ 24.497574 118.136062]
wsk520,-6.0,2,2,2,1,0.0024512729149639817,[ 24.49044611 118.19098662]
wsk521,118.0,6,4,4,3,0.00360382217050261,[ 24.496771   118.19111875]
wsk522,-34.0,4,3,2,1,0.01986628255700597,[ 24.48656555 118.1911107 ]
wsk523,9.0,2,2,2,2,0.0009911549047583034,[ 24.47778893 118.10026268]
wsk524,-106.0,9,9,4,5,0.0040070701301241855,[ 24.46645866 118.10410345]
wsk525,-199.0,9,12,3,5,0.001760472665511164,[ 24.47579064 118.10073131]
wsk526,-164.0,8,13,5,8,0.0019064314595899456,[ 24.48135488 118.18545754]
wsk527,-464.0,3,13,2,11,0.001128643646099539,[ 24.49306787 118.13800006]
wsk528,19.0,7,10,5,7,0.0021837456878791837,[ 24.4938935 118.1252675]
wsk529,-102.0,10,11,6,9,0.0028869751751947384,[ 24.49293839 118.1242847 ]
wsk52b,-134.0,6,8,5,5,0.0025618526469523683,[ 24.5512632  118.12285318]
wsk52c,-86.0,4,11,4,8,0.0018574690015544994,[ 24.55471569 118.12310719]
wsk52d,-154.0,14,13,8,10,0.0032059624695442938,[ 24.48570845 118.11696502]
wsk52e,-360.0,5,7,5,6,0.004344252482177631,[ 24.53871872 118.11236796]
wsk52f,-46.0,1,4,1,3,0.0008296305624093553,[ 24.4382655 118.140142 ]
wsk52g,59.0,5,5,3,3,0.002290549441841332,[ 24.53492218 118.15878072]
wsk52h,-23.0,10,8,6,4,0.004182904152012435,[ 24.438891  118.0856975]
wsk52j,19.0,6,3,4,2,0.004776603200348386,[ 24.4354705 118.095235 ]
wsk52k,-19.0,3,3,3,3,0.0015459202721990189,[ 24.42720888 118.12165507]
wsk52m,-38.0,3,6,2,5,0.0008083082211309669,[ 24.47229127 118.08403083]
wsk52n,32.0,2,3,2,2,0.004576705278615496,[ 24.5235165 118.13541  ]
wsk52p,-41.0,7,9,6,6,0.0030015102276916812,[ 24.52372975 118.1360545 ]
wsk52q,43.0,11,9,8,4,0.007607522252542752,[ 24.47907691 118.08172943]
wsk52r,-38.0,5,6,3,5,0.0015386746820959256,[ 24.545071  118.1541175]
wsk52s,-23.0,3,3,3,3,0.0012461091055661828,[ 24.53281779 118.09079431]
wsk52t,-77.0,1,1,1,1,0.0015503389086154059,[ 24.52830984 118.09095705]
wsk52u,0.0,0,0,0,0,0.0005548779001186047,[ 24.44843901 118.07912881]
wsk52v,43.0,1,0,1,0,0.0006878940954256772,[ 24.47743628 118.07898814]
wsk52w,-226.0,15,13,5,5,0.0051860228583467324,[ 24.45346768 118.07870118]
wsk52x,76.0,4,2,2,2,0.002037046272130623,[ 24.44697575 118.0817225 ]
wsk52y,54.0,2,0,2,0,0.0017588781931268823,[ 24.515459   118.13248275]
wsk52z,45.0,2,2,2,2,0.0013638563448939787,[ 24.46695368 118.07924954]
wsk530,-205.0,4,9,3,5,0.0013489285437685474,[ 24.474209  118.1573665]
wsk531,116.0,14,21,7,5,0.0035146341705426217,[ 24.46053978 118.11043574]
wsk532,307.0,8,5,5,4,0.005033660608518175,[ 24.5181967  118.13180673]
wsk533,39.0,16,7,9,4,0.008754507014446864,[ 24.5109425  118.14124275]
wsk534,578.0,18,2,11,1,0.14946464468877685,[ 24.43420653 118.1138034 ]
wsk535,-17.0,2,2,2,2,0.0009530969650190597,[ 24.43365726 118.11460905]
wsk536,178.0,7,4,4,2,0.002582960028783489,[ 24.49144733 118.17953102]
wsk537,-17.0,2,1,2,1,0.0010291101898422595,[ 24.53179176 118.17895059]
wsk539,56.0,1,0,1,0,0.0006878940954256772,[ 24.54912961 118.11371892]
wsk53d,25.0,1,1,1,1,0.012964985035165308,[ 24.54874466 118.11410023]
wsk53e,4.0,0,0,0,0,0.0005548779001186047,[ 24.52080887 118.13644534]
wsk53h,4.0,0,0,0,0,0.0005548779001186047,[ 24.53638881 118.134006  ]
wsk53j,68.0,1,0,1,0,0.0007298399200351,[ 24.53421639 118.096412  ]
wsk53k,-41.0,0,4,0,4,0.0005548779001186047,[ 24.54380033 118.10093711]
wsk53m,-113.0,1,4,1,4,0.0007298399200351,[ 24.53838594 118.09473826]
wsk53n,1.0,3,0,3,0,0.003041937430505629,[ 24.44411279 118.08041601]
wsk53p,-42.0,0,0,0,0,0.0005548779001186047,[ 24.54571668 118.10357287]
wsk53q,-16.0,0,0,0,0,0.0005548779001186047,[ 24.55775917 118.13069581]
wsk580,-35.0,0,0,0,0,0.0005548779001186047,[ 24.42702037 118.12586087]
wsk581,-427.0,11,14,7,9,0.010663556814983977,[ 24.4316807  118.13539268]
wsk582,-339.0,2,10,2,10,0.0021726056763032827,[ 24.43330653 118.10233317]
wsk583,-638.0,7,13,5,6,0.007053282860613387,[ 24.446647  118.1572235]
wsk584,195.0,2,3,2,2,0.002224654572279801,[ 24.4477945  118.15911425]
wsk585,27.0,0,0,0,0,0.0005548779001186047,[ 24.51188663 118.18288151]
wsk586,-210.0,22,16,8,5,0.015656066687565508,[ 24.50636516 118.18511703]
wsk587,248.0,8,0,4,0,0.0060381227295279415,[ 24.54840515 118.1458435 ]
wsk588,-154.0,9,14,4,7,0.0035501019109556923,[ 24.45148256 118.08437255]
wsk589,314.0,26,17,9,5,0.013408291061575142,[ 24.48314198 118.13838971]
wsk58b,5.0,1,2,1,2,0.001692589791051511,[ 24.50643465 118.14270142]
wsk58c,11.0,1,1,1,1,0.0011344966998303248,[ 24.53130806 118.11843969]
wsk58d,-119.0,33,34,10,7,0.016686714484373314,[ 24.53257275 118.12020868]
wsk58e,21.0,1,3,1,2,0.0028445811064238776,[ 24.48850547 118.12569493]
wsk58f,137.0,12,5,7,3,0.01150935309423313,[ 24.46783765 118.06899147]
wsk58g,26.0,1,2,1,2,0.001208831842117695,[ 24.47315444 118.06980553]
wsk58k,-19.0,1,0,1,0,0.001692589791051511,[ 24.47719645 118.14076475]
wsk58n,28.0,1,0,1,0,0.0010869426813468947,[ 24.4909095 118.1659178]
wsk58s,-3.0,0,0,0,0,0.0005548779001186047,[ 24.50138614 118.17193619]
wsk58u,-3.0,0,0,0,0,0.0005548779001186047,[ 24.49730511 118.17060352]
wsk590,-23.0,0,0,0,0,0.0005548779001186047,[ 24.49580264 118.16776219]
wsk591,-2.0,1,0,1,0,0.0010415852636338216,[ 24.52284616 118.09161674]
wsk592,-7.0,0,0,0,0,0.0005548779001186047,[ 24.53875083 118.13587653]
wsk593,66.0,0,0,0,0,0.0005548779001186047,[ 24.54326274 118.11822728]
wsk594,2.0,0,0,0,0,0.0005548779001186047,[ 24.45717607 118.068686  ]
wsk596,-1.0,0,0,0,0,0.0005548779001186047,[ 24.44256444 118.11845304]
